answer_id,target_id,target_class,target_object,source_url_or_citation,quoted_or_precise_source_text,answer_summary,approval_request,claim_limit,target_question,suggested_source_url,hint_window_preview,acceptance_notes,do_not_fill_with,current_status,score_allowed,support_allowed
answer_001,row_meaning_001,row_meaning,f_sigma8_z_row_role,,,,row_meaning_confirm,no_scoring/no_claims,"Does the source define the f_sigma8(z) row as measurement, redshift-function value, model-derived value, comparator row, or intermediate/convenience row?",https://arxiv.org/abs/2007.08991,"he Completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey: Cosmological Implications from two Decades of Spectroscopic Surveys at the Apache Point observatory, by eBOSS Collaboration: Shadab Alam and 98 other authors View PDF HTML (experimental) Abstract: We present the cosmological implications from final measurements of clustering using galaxies, quasars, and Ly$\alpha$ forests from the completed Sloan Digital Sky Survey (SDSS) lineage of experiments in large-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) meas",Paste exact source text/table note explaining row role. Do not infer from the label alone.,guesses; observed row values; paraphrase without source text,fillable_unanswered_not_approved,False,False
answer_002,row_meaning_002,row_meaning,f_sigma8_row_role,,,,row_meaning_confirm,no_scoring/no_claims,Does the source define the f_sigma8 row as final/consensus measurement row for the listed tracer and redshift bins?,https://arxiv.org/abs/2007.08991,"he Completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey: Cosmological Implications from two Decades of Spectroscopic Surveys at the Apache Point observatory, by eBOSS Collaboration: Shadab Alam and 98 other authors View PDF HTML (experimental) Abstract: We present the cosmological implications from final measurements of clustering using galaxies, quasars, and Ly$\alpha$ forests from the completed Sloan Digital Sky Survey (SDSS) lineage of experiments in large-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) meas","Paste exact source text/table note confirming final/consensus role, or keep blocked.",guesses; assuming f_sigma8 means final without source backing,fillable_unanswered_not_approved,False,False
answer_003,row_meaning_003,row_meaning,two_row_relationship,,,,row_meaning_confirm,no_scoring/no_claims,"Are f_sigma8(z) and f_sigma8 independent, duplicates, variants, derived from each other, or final-vs-intermediate representations?",https://arxiv.org/abs/2007.08991,"he Completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey: Cosmological Implications from two Decades of Spectroscopic Surveys at the Apache Point observatory, by eBOSS Collaboration: Shadab Alam and 98 other authors View PDF HTML (experimental) Abstract: We present the cosmological implications from final measurements of clustering using galaxies, quasars, and Ly$\alpha$ forests from the completed Sloan Digital Sky Survey (SDSS) lineage of experiments in large-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) meas",Paste exact source text explaining relationship or state keep_blocked.,using one row family as the other's baseline,fillable_unanswered_not_approved,False,False
answer_004,row_meaning_004,row_family,row_family_selection_basis,,,,row_meaning_confirm,no_scoring/no_claims,"Which one row family, if any, is legally selectable for a later diagonal-only diagnostic?",https://arxiv.org/abs/2007.08991,"he Completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey: Cosmological Implications from two Decades of Spectroscopic Surveys at the Apache Point observatory, by eBOSS Collaboration: Shadab Alam and 98 other authors View PDF HTML (experimental) Abstract: We present the cosmological implications from final measurements of clustering using galaxies, quasars, and Ly$\alpha$ forests from the completed Sloan Digital Sky Survey (SDSS) lineage of experiments in large-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) meas",Must select exactly one family or keep all blocked; mixed rows remain blocked.,mixed f_sigma rows; unsupported selection,fillable_unanswered_not_approved,False,False
answer_005,baseline_001,baseline,standard_comparator_values,,,,baseline_candidate,no_scoring/no_claims,What standard/LCDM/published comparator f_sigma8 values match the selected row family?,https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o","Comparator must be standard/published/reproducible and matched to row family, tracer, redshift, observable, assumptions.",observed SDSS values; row variants; mean observed rows; TAIRID post-hoc values,fillable_unanswered_not_approved,False,False
answer_006,baseline_002,baseline,baseline_source_mapping,,,,baseline_candidate,no_scoring/no_claims,What exact URL/file/citation/table/section maps each comparator value to each row?,https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Every comparator needs a stable source mapping.,candidate number near LCDM/growth without comparator role,fillable_unanswered_not_approved,False,False
answer_007,baseline_003,baseline,baseline_uncertainty_policy,,,,baseline_candidate,no_scoring/no_claims,"Does the comparator have uncertainty, or must the later diagnostic use observed sigma only with strict label?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Uncertainty policy must be source-backed or explicitly diagonal-only/no-claims.,invented comparator uncertainty,fillable_unanswered_not_approved,False,False
answer_008,baseline_004,baseline,baseline_equal_or_better_null,,,,keep_blocked,no_scoring/no_claims,"Does the answer preserve the null that standard comparator equal/better remains neutral/weaken, never support?",,,This row should normally remain keep_blocked/no_claims as a safety rule.,claiming compatibility as support,fillable_unanswered_not_approved,False,False
answer_009,definition_match_bound_01,definition_match,f σ 8 (z) Main Galaxy Sample (MGS) z_eff=0.15,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_010,definition_match_bound_02,definition_match,f σ 8 (z) BOSS Galaxy z_eff=0.38,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
